,동-연번,상세위치,도로명주소,위도,경도
200,이태원제2동-3,전신주옆,서울특별시 용산구 용산구 회나무로13나길,37.5412816,126.9909518
201,이태원제2동-4,상업지역,서울특별시 용산구 용산구 회나무로,37.5397755,126.9915991
202,이태원제2동-5,상업지역,서울특별시 용산구 용산구 회나무로,37.5397755,126.9915991
203,이태원제2동-6,쓰레기 수거 거점지역 ,서울특별시 용산구 용산구 회나무로28길,37.5386762,126.9942573
204,이태원제2동-7,전신주옆,서울특별시 용산구 용산구 녹사평대로46길,37.5378533,126.9888247
205,이태원제2동-8,전신주옆,서울특별시 용산구 용산구 녹사평대로46가길,37.5366798,126.9892977
206,이태원제2동-9,쓰레기 수거 거점지역 ,서울특별시 용산구 용산구 녹사평대로40다길,37.5355757,126.9896029
207,한남동-1,"상업지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 대사관로24길 8,37.5326105,127.0051796
208,한남동-2,담배꽁초 무단투기 상습지역,서울특별시 용산구 대사관로 59,37.533946,127.00456026501207
209,한남동-3,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 우사단로10길 39,37.5332495,126.997615
210,한남동-4,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 우사단로10길 42,37.5322647,126.9992454
211,한남동-5,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로10길 53,37.5322647,126.9992454
212,한남동-6,외국인 밀집지역 등,서울특별시 용산구 우사단로10길 67,37.5323687,126.9991105
213,한남동-7,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로10길 99,37.5322647,126.9992454
214,한남동-8,외국인 밀집지역 등,서울특별시 용산구 우사단로10나길 7,0.0,0.0
215,한남동-9,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로10다길 8,37.5317353,127.0028495
216,한남동-10,외국인 밀집지역 등,서울특별시 용산구 우사단로10다길 24,37.5317353,127.0028495
217,한남동-11,"외국인 밀집지역, 쓰레기 수거 거점지역 등",서울특별시 용산구 우사단로10다길 48,37.5317353,127.0028495
218,한남동-12,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로10라길 25,37.5323395,127.0017846
219,한남동-13,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로14길 25,37.5343277,126.9975669
